,longitude,latitude,time,altitude,air_temperature,specific_humidity,true_airspeed,flight_id,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,oc,co2_m,h2o_m,so2_m,nox_m,co_m,hc_m,nvpm_m,waypoint
10,0.3811395164703881,0.3811310839799603,2022-03-01 00:10:00,11500.0,221.13376,7.28327e-05,99.89627674188097,0.0,61684.734318395735,0.1516788848029673,0.7996765180990826,47.98059108594495,84289.73350175295,0.0,0.3998382590495413,0.6343835607365126,0.011360899053284548,0.00042787840212537534,4.174423435369515e-05,7.17e-05,1090000000000000.0,0.000959611821718899,0.025296015823717675,0.009846234007333145,6.724257370861661e-06,9.094477285555224e-05,3.4251958325286485e-06,3.341654470759656e-07,5.739633970128346e-07,10
11,0.4192554160661722,0.4192441923779563,2022-03-01 00:11:00,11500.0,221.12549,7.402349e-05,99.89676299466494,0.0,61636.75372730979,0.1516668925023558,0.7997965744455836,47.98779446673502,84161.42380697663,0.0,0.3998982872227918,0.6343891978868598,0.011361406717933962,0.0004278255580518646,4.173907883432825e-05,7.17e-05,1090000000000000.0,0.0009597558893347002,0.025299690395203495,0.009847664299398828,6.725234155687005e-06,9.09620482334539e-05,3.4252703043883963e-06,3.341727126232581e-07,5.74046772574712e-07,11
12,0.457371872237622,0.4573573007759524,2022-03-01 00:12:00,11500.0,221.1186,7.5271986e-05,99.89729345854545,0.0,61588.76593284305,0.15165707392221134,0.799896375701903,47.993782542114175,84033.64811311958,0.0,0.3999481878509515,0.6343938693921091,0.011361771770700812,0.0004277815722334509,4.173478753497082e-05,7.17e-05,1090000000000000.0,0.0009598756508422834,0.025302713013610586,0.009848840824918043,6.726037636529396e-06,9.097583874689392e-05,3.4253273274475106e-06,3.3417827584853763e-07,5.741153554037591e-07,12
13,0.49548893559110785,0.4954704091739484,2022-03-01 00:13:00,11500.0,221.11314,7.6574586e-05,99.89786813516625,0.0,61540.77215030094,0.1516494456455384,0.7999757376704009,47.99854426022405,83906.42510827359,0.0,0.39998786883520043,0.6343977996524829,0.011361997793808486,0.00042774671958149965,4.173138727624386e-05,7.17e-05,1090000000000000.0,0.000959970885204481,0.025305077858298983,0.009849761318261945,6.726666266130109e-06,9.098615151840031e-05,3.4253683679246296e-06,3.341822797975248e-07,5.741690134303914e-07,13
14,0.5336066567352394,0.5335835175719443,2022-03-01 00:14:00,11500.0,221.10873,7.702869e-05,99.89848702630687,0.0,61492.77360604072,0.1516434644294024,0.800039878419858,48.00239270519148,83779.60674334852,0.0,0.400019939209929,0.6344009725077215,0.011362309838734071,0.0004277185258937248,4.172863667255851e-05,7.17e-05,1090000000000000.0,0.0009600478541038296,0.02530694999555904,0.009850490029916968,6.727163922870125e-06,9.099538193762394e-05,3.4253959958755435e-06,3.3418497520737006e-07,5.742114919878427e-07,14
15,0.571725086281052,0.5716966259699404,2022-03-01 00:15:00,11500.0,221.10532,7.738138e-05,99.89915013388473,0.0,61444.77121333552,0.15163901890942966,0.8000898710358035,48.00539226214821,83653.16247046829,0.0,0.40004493551790177,0.6344037846228608,0.0113625523764083,0.0004276967162587614,4.172650890329379e-05,7.17e-05,1090000000000000.0,0.0009601078452429641,0.02530836337531136,0.009851040174567395,6.727539631411881e-06,9.100240645985723e-05,3.4254126295899273e-06,3.3418659800877346e-07,5.74243561395514e-07,15
16,0.6098442748421937,0.6098097343679365,2022-03-01 00:16:00,11500.0,221.10294,7.775127e-05,99.89985745995345,0.0,61396.76582107338,0.15163622143002467,0.8001246304440783,48.0074778266447,83527.12457197679,0.0,0.40006231522203917,0.6344058393736239,0.011362698123051233,0.0004276815655879744,4.172503078907067e-05,7.17e-05,1090000000000000.0,0.000960149556532894,0.025309283681579194,0.009851398395045067,6.727784269786875e-06,9.100688296976301e-05,3.4254158445721404e-06,3.3418691166557464e-07,5.742644430282367e-07,16
17,0.6479642730351116,0.6479228427659325,2022-03-01 00:17:00,11500.0,221.10158,7.8137775e-05,99.90060900670396,0.0,61348.75834324673,0.1516350065875872,0.8001447237031465,48.00868342218879,83401.50995904554,0.0,0.40007236185157324,0.6344072760331465,0.011362744617203921,0.00042767292115282793,4.172418742954419e-05,7.17e-05,1090000000000000.0,0.0009601736684437756,0.02530972885993385,0.00985157167649324,6.727902608336848e-06,9.100885612851395e-05,3.4254068592132734e-06,3.341860350451974e-07,5.742745440687522e-07,17
18,0.6860851314792387,0.6860359511639285,2022-03-01 00:18:00,11500.0,221.10126,7.854034e-05,99.90140477646507,0.0,61300.74965982454,0.15163543646944985,0.8001496708908232,48.008980253449394,83276.27174783465,0.0,0.4000748354454116,0.6344078796694987,0.01136269227863801,0.0004276708440447362,4.1723984784852305e-05,7.17e-05,1090000000000000.0,0.0009601796050689878,0.02530968373940887,0.009851554113757249,6.727890614273244e-06,9.100827468371872e-05,3.4253841162463056e-06,3.341838162191517e-07,5.742735202897518e-07,18
19,0.7242069007971808,0.7241490595619245,2022-03-01 00:19:00,11500.0,221.10199,7.895839e-05,99.90224477170074,0.0,61252.74067957109,0.15163749163935225,0.8001395329567688,48.00837197740613,83151.47470901288,0.0,0.4000697664783844,0.6344081011588697,0.011362542035937263,0.00042767554808364984,4.172444371547803e-05,7.17e-05,1090000000000000.0,0.0009601674395481225,0.025309150259050235,0.009851346461592336,6.727748803038669e-06,9.100515307351606e-05,3.4253495913198596e-06,3.3418044793364484e-07,5.742614156879435e-07,19
