,time,sigma_yy,sigma_yz,u_wind,waypoint,width,azimuth,air_pressure,v_wind,area_eff,air_temperature,sigma_zz,level,depth,vertical_velocity,longitude,latitude,age,lon_plus,lat_plus,lon_minus,lat_minus,advection_distance,azimuth2
0,2022-03-01 00:10:00,936.4731512375548,431.5071445151465,,0,86.55509927150705,359.35658854366136,,,6767.997998426099,,1437.8125032790101,209.33109011914945,107.24970874660724,,-0.03534328420494148,0.002512109565090605,0 days 00:10:00,-0.03533649173579248,0.002512033284844111,-0.035350076674090486,0.0025121858453370995,0.0,0.0
1,2022-03-01 00:10:00,844.3381689978105,363.2545287504068,,1,82.18701449731876,359.73548138399724,,,6247.075190238202,,1327.066234579712,209.34654492032146,103.0365463155559,,0.006171636905435207,0.04035616503033253,0 days 00:09:00,0.006178086925762772,0.04035613525217807,0.006165186885107642,0.040356194808486984,6246.404972876863,47.64840434459969
2,2022-03-01 00:10:00,757.0711037334657,299.4175640579575,,2,77.82396051260643,359.79467458049265,,,5727.311958738696,,1215.9199184645104,209.3507201027534,98.62737625890736,,0.04775538420327052,0.07816445279560362,0 days 00:08:00,0.04776149184204121,0.07816443090814748,0.047749276564499836,0.07816447468305976,12495.787483396402,47.6855002576701
3,2022-03-01 00:10:00,674.7440329012655,240.65953046271292,,3,73.47075787828872,359.8463293162594,,,5208.837461734079,,1104.3866272544462,209.34519634586192,93.99517550404154,,0.08939301615171757,0.11595191704245487,0 days 00:07:00,0.08939878217307022,0.11595190157760606,0.08938725013036493,0.11595193250730369,18748.042637803534,47.7153919951696
4,2022-03-01 00:10:00,597.1747697775794,187.50989959585058,,4,69.11872509111141,359.8904687538405,,,4691.430634009878,,992.4525987938418,209.33150961663938,89.10454977357068,,0.13106973435694158,0.15373347673814203,0 days 00:06:00,0.13107515884662901,0.15373346636823618,0.13106430986725415,0.15373348710804788,25003.07052426178,47.73811436462774
5,2022-03-01 00:10:00,523.9671307156316,140.37368533354544,,5,64.74362552193885,359.9271422683626,,,4174.669825224102,,880.1274007879467,209.31115125906086,83.91078122806135,,0.17277088093075577,0.1915240252336119,0 days 00:05:00,0.1727759620746025,0.19152401877238878,0.17276579978690904,0.191524031694835,31260.77745712004,47.75370157254391
6,2022-03-01 00:10:00,454.55202325357635,99.52504072075718,,6,60.30270463278252,359.95637272986147,,,3657.8788360632443,,767.4073379420614,209.28556801196552,78.35342177299273,,0.21448192864946236,0.2293384304082273,0 days 00:04:00,0.21448666127936583,0.22933842680461522,0.2144771960195589,0.22933843401183937,37521.07664262145,47.76218635372545
7,2022-03-01 00:10:00,388.71388813819465,65.19325739280683,,7,55.76478373584495,0.17177621129375004,,,3142.2778198471756,,654.3610302061965,209.2571795028112,72.35252754154185,,0.25625552308426336,0.2672162951238088,0 days 00:03:00,0.2562598995667303,0.26721630824480713,0.25625114660179643,0.26721628200281045,43791.25972290491,47.767489962491105
8,2022-03-01 00:10:00,325.23419143164296,37.36465844546472,,8,51.008563314929226,0.11712946424562268,,,2624.9860674179013,,540.9512277256014,209.22637810971952,65.7845713051686,,0.2980178986729527,0.30515723089045893,0 days 00:02:00,0.2980219019047999,0.3051572390742564,0.2980138954411055,0.30515722270666146,50065.222540188406,47.764526949092904
9,2022-03-01 00:10:00,262.55113046056664,15.724300539982597,,9,45.830219764741834,0.05985328817001192,,,2101.473509182275,,427.0051169596737,209.1929254066608,58.44690698127138,,0.33964740996387377,0.34312745042386283,0 days 00:01:00,0.3396510068102567,0.34312745418126284,0.33964381311749087,0.34312744666646283,56330.42551084827,47.74963469070278
10,2022-03-01 00:20:00,944.8382481180938,365.1415995978267,,10,86.94081886516109,0.6138446257479471,,,7015.0723529595825,,1460.4231621679228,209.50459719118095,108.08970948866215,,0.3480767461257699,0.38204509575150675,0 days 00:10:00,0.34808356905482346,0.38204516885250334,0.3480699231967163,0.38204502265051016,59989.02028409935,45.29125894658402
11,2022-03-01 00:20:00,855.2982514531748,297.26103106251384,,11,82.71871621117798,0.5639551670311649,,,6483.635302010751,,1348.286530500776,209.4660938192568,103.85707604205989,,0.3901461852951513,0.41989193099631955,0 days 00:09:00,0.3901526769707503,0.41989199489513135,0.39013969361955236,0.41989186709750775,66274.78291133212,45.55046920158825
12,2022-03-01 00:20:00,771.6486134024767,237.05474675467735,,12,78.5696436750213,0.511385200319689,,,5951.750352299047,,1235.6381189366123,209.42464603897548,99.42386510035152,,0.43208400388530777,0.4577668549660702,0 days 00:08:00,0.4320901700304823,0.45776691000256936,0.43207783774013325,0.4577667999295711,72553.3457637113,45.75489883056073
13,2022-03-01 00:20:00,692.8286373766578,184.35858077353083,,13,74.44883544430539,0.4640725693022618,,,5418.318384158876,,1122.4122127855605,209.3817665670476,94.75915629787174,,0.47388571552826875,0.49567397770144234,0 days 00:07:00,0.4738915583456729,0.4956740250269278,0.47387987271086457,0.49567393037595686,78824.28670599294,45.917203784681725
14,2022-03-01 00:20:00,619.825347046909,140.57435796111722,,14,70.41734712679306,0.409134927728281,,,4889.38107213389,,1008.8461281229642,209.3331494119427,89.83745891878128,,0.5155431534959405,0.533815129334523,0 days 00:06:00,0.5155486799916316,0.5338151687985266,0.5155376270002494,0.5338150898705194,85102.26134946363,46.03543786117881
15,2022-03-01 00:20:00,548.7194774602303,103.3492623971124,,15,66.25523239474633,0.33261997522753883,,,4354.165789379396,,894.6503341762395,209.28772601899124,84.60025220653847,,0.5570381203603176,0.5719652551200197,0 days 00:05:00,0.5570433202831961,0.5719652853075425,0.5570329204374391,0.5719652249324969,91368.19563304163,46.12908672641513
